id,code,text,created_at,description,is_active
1,bot_reason,왜 봇이라고 생각했나요?,2026-08-10T03:59:55.147745+00:00,적중자 대상 · 해당하는 이유 선택 (복수),false
4,bot_reason_g2,왜 봇이라고 생각했나요?,2026-08-28T08:15:46.000079+00:00,적중자 대상 · 해당하는 이유 선택 (복수),true
