id,game_id,round,vote_type,phase,voter_label,target_label,at
5a972550-44c9-4693-80ac-52a9693f4aa3,5,1,life_vote,lifeVote,B,Y,2026-08-28T07:50:15.650138+00:00
24bb0e8d-7c70-425f-96fe-5562891d0460,5,1,life_vote,lifeVote,P,P,2026-08-28T07:50:17.010432+00:00
cdb9f97d-70e8-455d-9a97-429759cfab69,5,1,life_vote,lifeVote,X,Y,2026-08-28T07:50:17.616276+00:00
4511607c-77d1-4b25-9101-20f827aca9ec,5,1,life_vote,lifeVote,M,M,2026-08-28T07:50:18.661632+00:00
794d7666-910e-4788-b5c7-1caff3c73b10,5,2,liar_vote,debate,X,M,2026-08-28T07:51:18.791217+00:00
7f5d1202-02f5-4ad0-b6a1-8942aa2df61a,5,2,liar_vote,debate,B,M,2026-08-28T07:51:23.924596+00:00
51322871-37f0-43f3-b19b-bfb3d4999bbd,5,2,liar_vote,debate,Y,M,2026-08-28T07:51:45.979263+00:00
904a59d0-1ec5-46e6-aa97-3a0f208f6014,5,2,liar_vote,debate,P,Y,2026-08-28T07:52:12.357374+00:00
71512853-8f46-42ad-926a-5125a2f225ff,5,2,life_vote,lifeVote,B,M,2026-08-28T07:53:18.342059+00:00
c0751db6-28d9-4d69-b7fd-f572dfcfe0be,5,2,life_vote,lifeVote,Y,M,2026-08-28T07:53:19.971808+00:00
7a95c9ad-e3ee-4515-bc0d-a48880cbe982,5,2,life_vote,lifeVote,X,X,2026-08-28T07:53:21.122419+00:00
1e4d47b5-f6d4-4a26-8232-acf6275a6589,5,2,life_vote,lifeVote,P,P,2026-08-28T07:53:32.894383+00:00
03ceddaa-09b2-4dfe-a8a7-c9c07f94dc3c,5,3,liar_vote,debate,B,Y,2026-08-28T07:53:33.223002+00:00
7ecf00b4-e980-41ea-949a-8111a79b1ca9,5,3,liar_vote,debate,X,Y,2026-08-28T07:53:46.020655+00:00
58f1d4f1-db78-4c41-b057-6df423daee41,5,3,liar_vote,debate,P,Y,2026-08-28T07:53:48.629594+00:00
061e75b4-cf89-414a-9d90-859ff5404c3b,5,3,liar_vote,debate,M,P,2026-08-28T07:55:13.257083+00:00
faa732d3-e309-4f39-8210-21c1221d0eeb,5,3,liar_vote,debate,Y,P,2026-08-28T07:55:16.084057+00:00
818d5eb6-77b6-4f23-afb8-7bf2aa83223e,5,3,life_vote,lifeVote,B,Y,2026-08-28T07:56:32.89503+00:00
7f93ea76-9049-414d-86de-cedeb90f3fc3,5,3,life_vote,lifeVote,X,Y,2026-08-28T07:56:34.284505+00:00
f1884afc-fdc6-49ca-80ee-b5834707dfc8,5,3,life_vote,lifeVote,P,Y,2026-08-28T07:56:36.416598+00:00
7f17ec9f-9548-44cc-9350-192197afd156,6,1,liar_vote,debate,E,W,2026-08-28T08:26:21.77528+00:00
23beefcb-e54e-4e8d-8f67-adcb87868303,6,1,liar_vote,debate,F,W,2026-08-28T08:26:26.220298+00:00
90c71729-2257-4351-84d9-79552106feed,6,1,liar_vote,debate,O,W,2026-08-28T08:26:30.225552+00:00
677b8179-f6b6-40ea-84a4-0f781178cfa3,6,1,liar_vote,debate,W,E,2026-08-28T08:26:59.026138+00:00
c32b73e2-399c-4ba1-a0c9-2081810ecd6e,6,1,liar_vote,debate,V,E,2026-08-28T08:27:32.329744+00:00
9e58b008-998e-4705-9dcc-7b280844e97d,6,1,liar_vote,debate,V,W,2026-08-28T08:27:36.441481+00:00
a97ed9af-b1ab-46f1-b807-a25162711934,6,1,liar_vote,debate,F,E,2026-08-28T08:27:36.896501+00:00
77afb5b1-13d9-4947-944a-e3e9bc0f5c5a,6,1,liar_vote,debate,F,W,2026-08-28T08:27:38.871525+00:00
54d805d6-5770-4946-8c4e-15e09fe90b58,6,1,liar_vote,debate,F,E,2026-08-28T08:27:40.468968+00:00
b54b5623-c931-4506-9908-a072e7e9818f,6,1,liar_vote,debate,F,W,2026-08-28T08:27:41.023205+00:00
7dcda15b-e4fa-4aba-8bdb-fcce74852954,6,1,life_vote,lifeVote,O,W,2026-08-28T08:29:00.723062+00:00
